"title","author","rating","reviews","price","description","themes"
"My Guide Dog is a Wolf Shifter","Roxie Ray","4.5 out of 5 stars","(374)","","It started as a terrible plan. Then he caught feelings.Jason needs to disappear.So his friends hand him the worst idea ever: become a guide dog.Violet didn’t move to a quiet little town to become “the brave blind girl.” She came for independence. For a fresh start. For the chance to figure out who she is now after spending the last year rebuilding her life after losing her sight.So when an enormous guide dog named Jason shows up for a trial match, Violet says yes…Then Human Jason knocks on her door.He’s supposedly a cooking instructor for visually impaired clients. He’s charming in a way that should be illegal. And the fact that he shares a name with her dog is the kind of cosmic joke that makes Violet want to fight the universe in a parking lot.Between grocery-store commentary, weekly lessons, and one wildly inconvenient flutter in Violet’s stomach, her world starts getting bigger again.Jason thought he was just choosing the safest place to hide.Violet thought she was just choosing her independence back.Neither of them planned on the part where ‘temporary’ gets complicated.  Read more","paranormal"
"The Wolf King: A Fantasy Romance","Lauren Palphreyman","4.4 out of 5 stars","(63,868)","","When a princess is kidnapped by an alpha, war rages between the humans and the wolves. But soon, forbidden attraction starts to grow. . .Princess Aurora longs to escape the castle and the marriage that has been arranged for her.But on the night before her wedding, at a dog fight where captured werewolves are made to fight for sport, she spares the life of a young wolf. It puts her on the radar of the powerful alpha who was going to kill him. And it changes everything.That night, when the alpha escapes, he kidnaps her and takes her to the rugged lands north of the border — where the once warring werewolf clans are beginning to unite. He thinks that she is the key to winning the war against the humans.Only, as they spend time around one another, forbidden attraction starts to grow. And as Aurora learns that not all wolves are bad, the alpha discovers that she is in danger from both his enemies, and those he once considered friends.With monsters on both sides, a bloodthirsty war between humans and wolves raging, and undeniable passion growing between them — will their story end in love? Or tragedy?And will Aurora ever get home?Does she even want to?An adult fantasy romance for fans of romantasy, werewolves, forbidden romance, and enemies to loversContent Warning: Contains strong language and sexual situations  Read more","paranormal"
"Cursed with Benefits","Roxie Ray","4.5 out of 5 stars","(536)","","House-sitting a creepy mansion was supposed to be easy—until Nadia accidentally wakes up a grumpy vampire lord who’s now magically bound to her.Step One: Get him to stop calling people “peasants.”Step Two: Convince him that biting is NOT an acceptable form of communication.Step Three: Absolutely, under no circumstances, fall for him. (Oops.)✨ Perfect for readers who love:– Grumpy/sunshine chaos– Forced proximity that sizzles– Cozy rom-coms with a bite  Read more","paranormal"
"Dark Alchemy: House of Cards (The Children Of The Gods Paranormal Romance Book 105)","I. T.  Lucas","4.8 out of 5 stars","(378)","","The traps have been sprung, the secret is out, and the house of cards is falling. As the empire crumbles, Mattie and Dimitri fight for survival and a love that transcends transformation.  Read more","paranormal"
"Zodiac Academy 2: Ruthless Fae","Caroline Peckham","4.5 out of 5 stars","(112,568)","","They tried to break us.They almost did.But we're not going anywhere.The Celestial Heirs think the stars are on their side.But they don't know what's coming. We have to be smart.Fighting them one on one isn't an option so we need to be cunning.Remaining under the radar won't be easy, but if we pull it off, they'll never suspect our involvement when their lives start falling apart.Besides, they've already taken us to the brink of hell, what more can they really do?  Read more","paranormal"
"The Starless Sea: A Novel","Erin Morgenstern","4.3 out of 5 stars","(19,647)","","NATIONAL BESTSELLER • From the bestselling author of The Night Circus, a timeless love story set in a secret underground world—a place of pirates, painters, lovers, liars, and ships that sail upon a starless sea.""[A] gorgeously written epic love story, filled with magic and mystery."" ⁠—PopsugarZachary Ezra Rawlins is a graduate student in Vermont when he discovers a mysterious book hidden in the stacks. As he turns the pages, entranced by tales of lovelorn prisoners, key collectors, and nameless acolytes, he reads something strange: a story from his own childhood. Bewildered by this inexplicable book and desperate to make sense of how his own life came to be recorded, Zachary uncovers a series of clues—a bee, a key, and a sword—that lead him to a masquerade party in New York, to a secret club, and through a doorway to an ancient library hidden far below the surface of the earth. What Zachary finds in this curious place is more than just a buried home for books and their guardians—it is a place of lost cities and seas, lovers who pass notes under doors and across time, and of stories whispered by the dead. Zachary learns of those who have sacrificed much to protect this realm, relinquishing their sight and their tongues to preserve this archive, and also of those who are intent on its destruction. Together with Mirabel, a fierce, pink-haired protector of the place, and Dorian, a handsome, barefoot man with shifting alliances, Zachary travels the twisting tunnels, darkened stairwells, crowded ballrooms, and sweetly soaked shores of this magical world, discovering his purpose—in both the mysterious book and in his own life.  Read more","paranormal"
"Zodiac Academy 3: The Reckoning","Caroline Peckham","4.6 out of 5 stars","(105,056)","","“The answer to your question will be revealed on the Lunar Eclipse. But when discovering the truth, do not let the shadows take you.”Hell Week has begun.Senior students have been tasked with making the freshmen's lives pure torture as we prepare to face The Reckoning - the assessment that will decide whether we stay at Zodiac Academy or lose our places here forever.With the Lunar Eclipse on the horizon, my sister and I have more to worry about than just passing our exams.A dark plot is unfolding and the shadows are drawing closer. It looks like our enemies could be more powerful than we ever realised.Damn, who would have thought being a princess would be this hard?  Read more","paranormal"
"Zodiac Academy 4: Shadow Princess","Caroline Peckham","4.5 out of 5 stars","(82,509)","","The shadows are in my blood. I can feel them crawling through me, slithering under my skin and taking me hostage. But the darkness within me isn't nearly as bad as the darkness that lives around me. The four Celestial Heirs will stop at nothing to destroy the lives of me and my sister. But they haven't figured out yet, that we're the strongest creatures they've ever known. And when that secret comes out, we need to be ready to face them as well as any other cruel Fae who rises against us. It’s us or them. And it damn well won’t be us.  Read more","paranormal"
"Leopard's Hunt (A Leopard Novel Book 15)","Christine Feehan","4.8 out of 5 stars","(3,386)","","In this pulse-pounding novel in the #1 New York Times bestselling Leopard series, animal instinct unites two elite shifters whose heads are at war with their hearts.Gorya Amurov might be known as his family's peacekeeper, but the leopard inside him wants nothing more than to claw to the surface and unleash hell. A harsh life has shaped him into a vicious fighter with a calm exterior, but Gorya knows it's only a matter of time until he loses all control. Deep down, he truly believes he'd be better off dead, and that no woman will ever accept him as a mate....Maya Averina has spent years hunting the criminals who destroyed her life, and she always takes down her prey. She keeps to herself, stays under the radar, and never loses focus. But with her body burning up and her mind distracted by her first heat, an ambush takes her by surprise. Now she's trapped, an unmated female shifter about to be sold off to the highest bidder. Maya is ready to fight her way out—until the most dangerous, powerful man she's ever encountered arrives to set her free....  Read more","paranormal"
"Zodiac Academy 5: Cursed Fates","Caroline Peckham","4.5 out of 5 stars","(81,084)","","The stars have cursed us all. After the devastating events at Zodiac Academy, we have to deal with this hollow reality we're faced with. Lionel seeks to destroy us, the Nymphs seek to destroy the entire Fae race, and between all of it, we have to try and survive each day and prove our worth in this forsaken place. I'm afraid of everything falling apart, but it looks like it already has. Death lurks around every corner, and it wants to claim me and my sister. But together, we will overcome the darkness that seeks to defeat us. Because we were forged in fire. And these flames will never die.  Read more","paranormal"
"Crone of Thorns","Amanda M. Lee","4.8 out of 5 stars","(561)","","Scout Randall is ready for the return of one enemy. What she gets is two for the price of one.Bonnie Jenkins returns in the middle of nowhere, in the middle of the night, and in the middle of a very weird pack of dogs. They’re not wolf shifters, but they’re determined to keep Bonnie separate from Scout.Bonnie’s escape weighs heavily on Scout, but the dogs are a problem, especially when the truth about the arrival becomes clear.The kishi don’t belong in Michigan. They’re from another world.Their motivations are hidden.Their allegiances are unknown.Their goal is the only thing that is clear.They want Scout’s magic. They’ll settle for Bonnie’s magic, too. With that will come total domination.Scout has zero intention of letting them win. She’s outnumbered but not outgunned thanks to her merry band of misfits.It’s all hands on deck for another crazy Hawthorne Hollow adventure. What happens when three enemies collide? Who will come out alive?  Read more","paranormal"
"Zodiac Academy 6: Fated Throne","Caroline Peckham","4.5 out of 5 stars","(79,340)","","Fate has torn us apart.Without my sister, the world seems darker than ever before and the shadows loom thicker, rising up to answer the call of the Shadow Princess and changing the face of Solaria for good.Now Lionel Acrux has the strength to make a move for the throne, I’m not sure how much time we have left to stop him.Our only hope is to find the Imperial Star before he does. We made the sacrifice the stars called for and we’re paying the price for that decision so it can’t be for nothing.But with the stars turning against us at every move, and the last light in the world seeming to fade, I’m afraid we’re almost out of time.Hope is a dangerous thing. It’s the key to us fighting on. But it could be what destroys us in the end.One thing is for certain, I won’t stop until I have been reunited with my other half and together we will fight to take our crowns.A war is coming.The throne is calling for a new monarch. And someone must answer its call.  Read more","paranormal"
"Forged in Blood: A Dark Paranormal/ Fantasy romance (Broken Bloodlines Book 1)","Sadie Kincaid","4.3 out of 5 stars","(34,506)","","A dark paranormal/ fantasy romance from bestselling author, Sadie Kincaid.Every few millennia, a child is born. Some say they’re marked with a curse.Others claim they possess the power of the ages. Meet Ophelia Hart. Lover of classic literature and unicorns. An orphan with nobody in her corner—no family, no friends. But it’s her loneliness that fuels her life’s ambition to become a social worker and help the forgotten children just like her. For a foster kid with only slightly above-average grades, it feels like a pipe dream.Except it seems that someone is looking out for Ophelia after all. When an unexpected opportunity to attend Montridge University arises, she thinks her life is finally taking a turn for the better.Too bad she comes to the attention of the three ruthless, arrogant commanders of the Ruby Dragon Society. Three of the most feared and powerful vampires on campus.But Ophelia doesn’t believe in vampires. Or in witches, or magic, or ancient prophecies. Until she has no choice. Little does she know, she’s about to have her whole world turned upside down. Because there is something about Ophelia Hart. Something that captures not only the attention of the Ruby Dragon commanders, but also their powerful, enigmatic sire—Professor Alexandros Drakos.With no idea of the power running through her veins, Ophelia must learn to trust the very men whom all others fear. And she needs to do it fast, for there are darker forces at work than those at Montridge University. Forces that were long ago Forged in Blood.Forged in Blood is book one in a trilogy. Books 1 and 2 end on cliffhangers and book 3 is a HEA.  Read more","paranormal"
"Sweetwater and the Witch (A Harmony Novel Book 16)","Jayne Castle","4.7 out of 5 stars","(5,948)","","Welcome to the world of Harmony, where—despite its name, things are anything but—danger lurks just beneath the surface in this new novel by New York Times bestselling author, Jayne Castle.  If there’s something Ravenna Chastain knows, it’s when to end things. And after she almost winds up the victim of a cult that believes she’s a witch, it’s easy to walk away from her dead-end career, ready for a new start. But where to find a job that would allow her to use her very specialized skill set? The answer is clear: she becomes a matchmaker.   But even a successful matchmaker can’t find someone for everyone, and Ravenna considers Ethan Sweetwater her first professional failure. After nine failed dates, Ravenna knows it’s time to cut Ethan loose. But Ethan refuses to be fired as a client—he needs one final date to a business function. Since Ravenna needs a date herself to a family event, they agree to a deal: she will be his (business) date if he will be her (fake) date to her grandparents’ anniversary celebration.   What Ethan fails to mention is that attending the business function is a cover for some industrial espionage that he’s doing as a favor to the new Illusion Town Guild boss. Ravenna is happy to help, but their relationship gets even more complicated when things heat up—the chemistry between them is explosive, as explosive as the danger that’s stalking Ravenna. Lucky for her, Ethan isn’t just an engineer—he’s also a Sweetwater, and Sweetwaters are known for hunting down monsters…  Read more","paranormal"
